term,coefficient,std_error,p_value,ci_95_low,ci_95_high,approx_effect_size_abs_t,model_type,p_bh_fdr,sig_bh_q05,cohen_f2,meets_f2_threshold,boot_ci_low,boot_ci_high
Intercept,0.07585913900141471,0.04764506670144867,0.11134607285033508,-0.017523475774433278,0.1692417537772627,1.592171955110479,mixedlm,0.22269214570067017,False,0.0005322300093723126,False,-0.009693111922000492,0.16958659440431775
C(perturbation_type)[T.controlled_paraphrase],0.025976308608255737,0.013453556719802017,0.05350612328557686,-0.00039217802652304415,0.05234479524303452,1.9308134755192088,mixedlm,0.12841469588538448,False,0.0007827085192623486,False,0.0017699860436126967,0.056686898892223093
C(perturbation_type)[T.synonym_substitution],0.015394629609235086,0.02058339862280992,0.45451151637081966,-0.02494809037090371,0.05573734958937388,0.7479148556242411,mixedlm,0.5261365499155815,False,0.00011744208088671623,False,-0.041680455098394714,0.04794590196600616
C(perturbation_type)[T.syntactic_reordering],0.09237233760436998,0.01981441343827718,3.1334003669890022e-06,0.053536800890560246,0.1312078743181797,4.661875956717775,mixedlm,1.8800402201934013e-05,True,0.004562898894777089,False,0.055268551684771274,0.149251577314555
C(linguistic_category)[T.mixed],0.017333758258315155,0.0479395623753954,0.7176694781159887,-0.07662605743207128,0.11129357394870158,0.3615752292977036,mixedlm,0.7176694781159888,False,2.744838262475056e-05,False,-0.07677948471446008,0.10728307237834282
C(linguistic_category)[T.modifier],0.0393655057116191,0.04884566752615343,0.4202912764824004,-0.0563702434404593,0.1351012548636975,0.8059160147732987,mixedlm,0.5261365499155815,False,0.00013636376713585467,False,-0.06509467947617052,0.13091168318135807
C(linguistic_category)[T.noun],0.038332838991592635,0.04825173041595361,0.4269425303590292,-0.05623881481541232,0.1329044927985976,0.7944344930460471,mixedlm,0.5261365499155815,False,0.0001325060180015389,False,-0.04882643876748851,0.13882911659328673
C(linguistic_category)[T.verb],0.03408180380952354,0.04850665344547748,0.4822918374226163,-0.060989489954178036,0.12915309757322513,0.7026212156200844,mixedlm,0.5261365499155815,False,0.00010364824115881695,False,-0.052975365534733886,0.1311968450226161
mean_lexical_change_magnitude,0.1408016697768114,0.044861125093693555,0.0016974999591459004,0.05287548028722598,0.22872785926639683,3.1386120941626783,mixedlm,0.0067899998365836016,True,0.002068210345921527,False,0.014152774793177624,0.22422498308222202
mean_accuracy,-0.07983395258631125,0.028309337187582304,0.004801507695958381,-0.13531923390017297,-0.02434867127244951,2.8200572855986845,mixedlm,0.014404523087875144,True,0.001669687821553269,False,-0.11755623987737808,-0.03714270053592027
Group Var,0.016809419626540735,0.020902027177174407,0.42128121994057877,-0.024157800844598516,0.057776640097679986,0.8042004483133142,mixedlm,0.5261365499155815,False,0.00013578382554426527,False,,
model_name Var,0.45574855176061535,0.039919450177710834,3.4507340137967294e-30,0.37750786712966106,0.5339892363915697,11.416704131237864,mixedlm,4.1408808165560753e-29,True,0.02736534394713914,False,,
