instance_id,model_name,architecture,input_type,perturbation_type,input_text,gold_mention,gold_cui,generated_answer,mapping_mode
mm_0124918,FLAN-T5-base,generative,original,original,"This study provides evidence that SAFI effectively protects the brain after cerebral ischemia, which may be caused by attenuating inflammation in microglia.",brain,UMLS:C0006104,SAFI,text-generation
mm_0071254,FLAN-T5-base,generative,original,original,"The uptakes of (18)F-FMISO (reduced hypoxia), (18)F-ML-10 (increased apoptosis) and (18)F-Alfatide II (decreased angiogenesis) in the tumor lesions significantly changed during the early stage (days 1 to 3) of sunitinib treatment; however, the uptake of (18)F-FDG (increased glucose metabolism) was significantly different during the late stage.",treatment,UMLS:C1533734,sunitinib,text-generation
mm_0171783,FLAN-T5-base,generative,original,original,"Characteristics of N-Acylhomoserine Lactones Produced by Hafnia alvei H4 Isolated from Spoiled Instant Sea Cucumber This study aimed to identify N-acylhomoserine lactone (AHL) produced by Hafnia alvei H4, which was isolated from spoiled instant sea cucumber, and to investigate the effect of AHLs on biofilm formation.",sea cucumber,UMLS:C0036485,biofilm,text-generation
mm_0077820,FLAN-T5-base,generative,original,original,"The meta-analysis revealed that IV magnesium sulfate is an effective treatment in children, with the pulmonary function significantly improved and hospitalization and further treatment decreased.",meta-analysis,UMLS:C0282458,magnesium sulfate,text-generation
mm_0015640,FLAN-T5-base,generative,original,original,Inducement of tissue regeneration of harvested hamstring tendons in a rabbit model.,tissue,UMLS:C0040300,hamstring regeneration,text-generation
mm_0193717,FLAN-T5-base,generative,original,original,"Participants were 16,531 veterans who had an initial ECG at the Veterans Affairs Medical Center, Palo Alto, between March 31, 1987, and December 20, 1999, and were followed for CVD.",CVD,UMLS:C2926098,ECG,text-generation
mm_0090104,FLAN-T5-base,generative,original,original,"In conclusion, our findings suggested that repetitive transcranial magnetic stimulation improves cognitive function, memory and language level of AD patients, especially in the mild stage of AD.",AD,UMLS:C0002395,AD,text-generation
mm_0186465,FLAN-T5-base,generative,original,original,"Results show that based on HAQI, the current AQI system likely significantly underestimate the health risks of air pollution, highlighting that the general public may need stricter health protection measures.",AQI,UMLS:C0918012,air pollution,text-generation
mm_0166571,FLAN-T5-base,generative,original,original,The circulating CD14(++)CD16(+)monocytes more frequently expressed TLR-4 than CD14(++)CD16(-) and CD14(+)CD16(+)monocytes (P<0.001).,CD14(++)CD16(-),UMLS:C0026473,CD14(++)CD16(+)monocytes,text-generation
mm_0146865,FLAN-T5-base,generative,original,original,"Our model accounts for dominance of entire margins in the tropics, Mediterranean scrub, and tundra, non-entire margins in cold temperate deciduous forests and tropical vines and early-successional trees, and entire leaf margins in monocots.",leaf,UMLS:C0242724,monocots,text-generation
